text,label
"""You're a complete waste of space.""",Offensive
"""I have to pick up groceries after work.""",Neutral
"""You have a heart of gold.""",Not Offensive
"""You're an absolute idiot.""",Offensive
"""I'm cooking dinner tonight.""",Neutral
"""You always know how to make me smile.""",Not Offensive
"""You should just give up, loser.""",Offensive
"""I need to book my flight tickets.""",Neutral
"""Your dedication is commendable.""",Not Offensive
"""You're a terrible person.""",Offensive
"""I'll send you the documents tomorrow.""",Neutral
"""You have been a great mentor to me.""",Not Offensive
"""You're always in the way.""",Offensive
"""I need to water my plants.""",Neutral
"""Your positive attitude is infectious.""",Not Offensive
"""You are completely useless.""",Offensive
"""I'm planning to redecorate my house.""",Neutral
"""You are a true friend.""",Not Offensive
"""You're such a disappointment.""",Offensive
"""I have a meeting at 10 AM.""",Neutral
"""You have done an excellent job.""",Not Offensive
"""I can't stand you.""",Offensive
"""I'm going for a run.""",Neutral
"""You are very talented and hardworking.""",Not Offensive
"""You're always causing trouble.""",Offensive
"""I'll email you the details.""",Neutral
"""You have a very creative mind.""",Not Offensive
"""You're the dumbest person I've ever met.""",Offensive
"""I'm going to visit my grandparents this weekend.""",Neutral
"""You are very thoughtful and considerate.""",Not Offensive
"""You always ruin everything.""",Offensive
"""I'll take the bus to work tomorrow.""",Neutral
"""You always know how to cheer me up.""",Not Offensive
"""Nobody likes you, just go away.""",Offensive
"""I'm attending a conference next week.""",Neutral
"""You are a very kind person.""",Not Offensive
"""You are the worst friend ever.""",Offensive
"""I'm going to the library to study.""",Neutral
"""You did a great job with the project.""",Not Offensive
"""You're a complete idiot.""",Offensive
"""I need to finish my assignment.""",Neutral
"""You are always so helpful.""",Not Offensive
"""You're an embarrassment to everyone.""",Offensive
"""I'm planning to go hiking this weekend.""",Neutral
"""Your advice was very helpful.""",Not Offensive
"""I can't believe how stupid you are.""",Offensive
"""I'm going to clean my room today.""",Neutral
"""You have a wonderful personality.""",Not Offensive
"""You always make things worse.""",Offensive
"""I'll call you after the meeting.""",Neutral
"""You are a fantastic team player.""",Not Offensive
"""You're such a nuisance.""",Offensive
"""I'm going to make dinner now.""",Neutral
"""You are always so positive.""",Not Offensive
"""You're such a fucking idiot.""",Offensive
"""I'm heading out for a walk.""",Neutral
"""You always make everyone smile.""",Not Offensive
"""Don't be a bitch, just do it.""",Offensive
"""I need to check the weather forecast.""",Neutral
"""Your kindness is greatly appreciated.""",Not Offensive
"""Fuck off and leave me alone.""",Offensive
"""I'm going to the grocery store.""",Neutral
"""You did an excellent job on that project.""",Not Offensive
"""You're such a pain in the ass.""",Offensive
"""The sun is shining brightly today.""",Neutral
"""Your support means a lot to me.""",Not Offensive
"""Why don't you just shut the fuck up?""",Offensive
"""I'm reading a really good book right now.""",Neutral
"""You're one of the most thoughtful people I know.""",Not Offensive
"""Get lost, bitch.""",Offensive
"""I need to finish my homework tonight.""",Neutral
"""Thank you for always being there for me.""",Not Offensive
"""Nobody cares about your stupid opinions.""",Offensive
"""I'm planning to visit my parents this weekend.""",Neutral
"""You always know how to make me laugh.""",Not Offensive
"""You fucking ruined everything.""",Offensive
"""The meeting is scheduled for 3 PM.""",Neutral
"""You're an inspiration to everyone around you.""",Not Offensive
"""I can't stand your bullshit anymore.""",Offensive
"""I'm going to take a nap.""",Neutral
"""You always bring so much joy to others.""",Not Offensive
"""You're such a dumbass.""",Offensive
"""I need to buy some groceries later.""",Neutral
"""You are so talented and creative.""",Not Offensive
"""Why are you such a bitch all the time?""",Offensive
"""I'm looking forward to the weekend.""",Neutral
"""You have a wonderful sense of humor.""",Not Offensive
"""Nobody gives a fuck about you.""",Offensive
"""I'll see you at the conference.""",Neutral
"""Your positivity is contagious.""",Not Offensive
"""You're a fucking disgrace.""",Offensive
"""I'm going to start a new project.""",Neutral
"""You have been a great mentor to me.""",Not Offensive
"""Get out of my face, asshole.""",Offensive
"""I need to clean my room.""",Neutral
"""You are an incredible friend.""",Not Offensive
"""I don't want to hear your shit anymore.""",Offensive
"""I'm going to cook dinner now.""",Neutral
"""Your smile brightens up my day.""",Not Offensive
"""You're such a fucking loser.""",Offensive
"""I'll be back in a few minutes.""",Neutral
"""You are always so considerate of others.""",Not Offensive
"""Why don't you fuck off already?""",Offensive
"""I need to finish this report.""",Neutral
"""You always bring out the best in people.""",Not Offensive
"""You're a fucking joke.""",Offensive
"""I'm planning to go for a run later.""",Neutral
"""Your efforts are truly appreciated.""",Not Offensive
"""Get lost, nobody wants you here.""",Offensive
"""I have a dentist appointment tomorrow.""",Neutral
"""You did a fantastic job!""",Not Offensive
"""Nobody likes your fucking attitude.""",Offensive
"""I'm going to call my friend.""",Neutral
"""You are always so helpful and kind.""",Not Offensive
"""You're a complete asshole.""",Offensive
"""I need to check my email.""",Neutral
"""Your generosity is greatly appreciated.""",Not Offensive
"""Don't be such a fucking idiot.""",Offensive
"""I'll meet you at the park.""",Neutral
"""You have a very creative mind.""",Not Offensive
"""Why don't you shut up, bitch?""",Offensive
"""I'm going to watch a movie tonight.""",Neutral
"""Your hard work is paying off.""",Not Offensive
"""You're fucking worthless.""",Offensive
"""I need to book my flight tickets.""",Neutral
"""You always know how to cheer me up.""",Not Offensive
"""You're a fucking waste of space.""",Offensive
"""I'm going to take a shower.""",Neutral
"""You are truly a wonderful person.""",Not Offensive
"""I can't stand your fucking face.""",Offensive
"""I need to water the plants.""",Neutral
"""Your advice was really helpful.""",Not Offensive
"""You're a fucking idiot.""",Offensive
"""I have to pick up some groceries.""",Neutral
"""You are always so thoughtful.""",Not Offensive
"""Nobody gives a shit about you.""",Offensive
"""I'm going to the gym.""",Neutral
"""You always brighten my day.""",Not Offensive
"""Why don't you just fuck off?""",Offensive
"""I need to finish this assignment.""",Neutral
"""You have been very supportive.""",Not Offensive
"""Get the fuck out of here.""",Offensive
"""I'm going to read a book.""",Neutral
"""You are an amazing person.""",Not Offensive
"""You're such a fucking liar.""",Offensive
"""I need to take my car for a service.""",Neutral
"""You are always so positive and uplifting.""",Not Offensive
"""You're such a piece of shit.""",Offensive
"""I'm planning to visit a friend.""",Neutral
"""You always help me when I need it.""",Not Offensive
"""Why are you such a fucking moron?""",Offensive
"""I'll call you after the meeting.""",Neutral
"""You are very good at what you do.""",Not Offensive
